Complex name	Complex size	Organism	Number of RNA-binding subunits	Number of SUMOylated subunits	RNA binding	SUMOylated	RNA.SUMO
MDC1-MRE11-RAD50-NBS1 complex	4	human	0	4	FALSE	TRUE	FALSE.TRUE
TERF1 homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
RAD52-ERCC4-ERCC1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
BLM-TOP3A complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
MSH2/6-BLM-p53-RAD51 complex	5	human	0	4	FALSE	TRUE	FALSE.TRUE
MutS-alpha-PK-zeta complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
BLM-RAD51L3-XRCC2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
PCNA homotrimer complex	1	human	0	1	FALSE	TRUE	FALSE.TRUE
Replication-coupled CAF-1-MBD1-ETDB1 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
ASF1-interacting protein complex	6	human	0	3	FALSE	TRUE	FALSE.TRUE
ASF1-histone containing complex	7	human	0	4	FALSE	TRUE	FALSE.TRUE
SP1-MCAF2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
MBD1-MCAF1-SETDB1 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
CTGF/Hcs24-actin complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Cofilin-actin-CAP1 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
RIAM-Rap1-GTP complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA6-ITGB4-Laminin10/12 complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB4-Laminin10/12 complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB4-CD151 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB4-FYN complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB4-LAMA5 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB4 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB8-MMP14-TGFB1 complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB5-PLAUR complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB5-ICAM4 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB5-ADAM9 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB5-SPP1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB5-CYR61 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB5 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGB6-FYN-FN1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB6-SPP1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB6-TGFB3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB6 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-CD47-FCER2 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGB3-ITGAV-CD47 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-SPP1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-ADAM15 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITAGV-ITGB3-F11R complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-PXN-PTK2b complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-ADAM23 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-COL4A3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-PPAP2b complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-EGFR complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA2b-ITGB3-CD9 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGAV-ITGB3-LAMA4 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
FN1-TGM2 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGA2B-ITGB3-FN1-TGM2 complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGA2b-ITGB3-CD47-SRC complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA2b-ITGB3-TLN1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA2B-ITGB3-CIB1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA2B-ITGB3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA2B-ITGB3-F11R complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA5-ITGB1-FN1-TGM2 complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
ITGA5-ITGB1-ADAM15 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA5-ITGB4 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CD98-LAT2-ITGB1 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA7-ITGB1-CD151 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA3-ITGB1-BSG complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGA3-ITGB1-CD63 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA3-ITGB1-CD151 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA3-ITGB1-THBS1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA3-ITGB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB1-CD151 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-EMILIN1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-CD81 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-CD53 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-VCAM1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-JAM2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-CD47 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-THBS1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA4-ITGB1-THBS2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA2-ITGB1-CD47 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA2-ITGB1-CHAD complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA2-ITGB1-COL6A3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA2-ITGB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA1-ITGB1-COL6A3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA1-ITGB1-PTPN2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB1 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB1-CYR61 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-ADAM9 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-VCAM1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-TNC complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGB1-ITGA9 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-ADAM15 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-FIGF complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-ADAM12 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
ERBB2-MEMO-SHC complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	7	human	1	0	TRUE	FALSE	TRUE.FALSE
Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated	3	human	1	0	TRUE	FALSE	TRUE.FALSE
SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated	4	human	1	0	TRUE	FALSE	TRUE.FALSE
PLC-gamma-2-SLP-76-Lyn-Grb2 complex	4	human	1	1	TRUE	TRUE	TRUE.TRUE
PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated	3	human	0	1	FALSE	TRUE	FALSE.TRUE
HGF-Met complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
EGFR-CBL-GRB2 complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
PLC-gamma-1-SLP-76-SOS1-LAT complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
p56(LCK)-CAML complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
FGFR2-c-Cbl-Lyn-Fyn complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated	4	human	0	1	FALSE	TRUE	FALSE.TRUE
CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Class C VPS/HOPS complex	6	human	0	1	FALSE	TRUE	FALSE.TRUE
CD19-Vav-PI 3-kinase (p85 subunit) complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Sam68-p85 P13K-IRS-1-IR signaling complex	4	human	1	1	TRUE	TRUE	TRUE.TRUE
Sam68-p120GAP complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Survivin homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
RasGAP-AURKA/AURKB-survivin complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
PGC-1-SRp40-SRp55-SRp75 complex	4	human	4	2	TRUE	TRUE	TRUE.TRUE
FOXO1-FHL2-SIRT1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SIRT1 homotrimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
FOXO3-SIRT1 complex, oxidative stress stimulated	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NELF complex (Negative elongation factor complex)	4	human	1	3	TRUE	TRUE	TRUE.TRUE
POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	6	human	6	5	TRUE	TRUE	TRUE.TRUE
BRD4 complex	8	human	2	6	TRUE	TRUE	TRUE.TRUE
P-TEFb-BRD4-TRAP220 complex	4	human	2	4	TRUE	TRUE	TRUE.TRUE
P-TEFb-SKP2 complex	3	human	2	2	TRUE	TRUE	TRUE.TRUE
HES1 promoter corepressor complex	6	human	3	2	TRUE	TRUE	TRUE.TRUE
HES1 promoter-Notch enhancer complex	13	human	6	6	TRUE	TRUE	TRUE.TRUE
ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	6	human	1	1	TRUE	TRUE	TRUE.TRUE
Er-alpha-p53-hdm2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
FOXO3-TP53 complex, oxidative stress stimulated	2	human	0	1	FALSE	TRUE	FALSE.TRUE
p53-SP1 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
p53 homotetramer complex	1	human	0	1	FALSE	TRUE	FALSE.TRUE
RNA polymerase II (RNAPII)	17	human	5	6	TRUE	TRUE	TRUE.TRUE
BRCA1-core RNA polymerase II complex	13	human	5	5	TRUE	TRUE	TRUE.TRUE
MT1-MMP-claudin-1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SMAD3-SMAD4-cJun-cFos complex	4	human	1	4	TRUE	TRUE	TRUE.TRUE
NFAT-JUN-FOS DNA-protein complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
ERG-JUN-FOS DNA-protein complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
ETS2-FOS-JUN complex	3	human	1	3	TRUE	TRUE	TRUE.TRUE
ER-alpha-GRIP1-c-Jun complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
ER-alpha-c-Jun complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Ectodermin-SMAD4 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD3-SMAD4-CTCF protein-DNA complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
SMAD3-SMAD4-SP1 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
SMAD3-SMAD4-FOXO3-FOXG1 complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD3-SMAD4-cJUN complex	3	human	1	3	TRUE	TRUE	TRUE.TRUE
MMP-9-TIMP-1-LRP complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
LRP-1-Alpha-2-M-annexin VI complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
Amyloid beta protein oligomer	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Ubiquitin E3 ligase (CHEK1, CUL1)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)	8	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (TRIM25, DDX58)	2	human	2	1	TRUE	TRUE	TRUE.TRUE
MAD2-CDC20 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Casein kinase II-HMG1 complex	4	human	1	3	TRUE	TRUE	TRUE.TRUE
Casein kinase II complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
HCF-1 complex	19	human	5	15	TRUE	TRUE	TRUE.TRUE
ATM-NBS1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
PXN-ITGB5-PTK2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SRC-3 complex	7	human	1	2	TRUE	TRUE	TRUE.TRUE
SRC-1 complex	4	human	1	2	TRUE	TRUE	TRUE.TRUE
Set1B complex	6	human	1	2	TRUE	TRUE	TRUE.TRUE
Set1A complex	6	human	1	3	TRUE	TRUE	TRUE.TRUE
TAJ-NgR1-LINGO-1 signaling complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
BLM complex II	6	human	0	3	FALSE	TRUE	FALSE.TRUE
FA complex (Fanconi anemia complex)	11	human	0	4	FALSE	TRUE	FALSE.TRUE
TRAF6-MALT1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TRAF2-MALT1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Ubiquitin ligase complex (TRAF6, TAB2, MALT1, UEV1A, BCL10)	5	human	0	0	FALSE	FALSE	FALSE.FALSE
SETDB1-containing HMTase complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
CARMA1-BCL10-MALT1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
FYB-CARMA1-BCL-10-MALT1 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
JUND-FOSB-SMAD3-SMAD4 complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
17S U2 snRNP	33	human	30	29	TRUE	TRUE	TRUE.TRUE
Ubiquitin-protein-ligase (UBE2N, UBE2V2/MMS2)	2	human	1	0	TRUE	FALSE	TRUE.FALSE
SMN complex, U7 snRNA specific	7	human	7	5	TRUE	TRUE	TRUE.TRUE
TRIKA2 protein kinase complex (TAK1, TAB1, TAB2)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
MBD1-MCAF complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD3-SMAD4-FOXO3 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD3-SMAD4-FOXO1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD3-SMAD4-FOXO4 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
MBD1-Suv39h1-HP1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
PRMT5 complex	1	human	0	1	FALSE	TRUE	FALSE.TRUE
TERF2-RAP1 complex	7	human	2	6	TRUE	TRUE	TRUE.TRUE
RAD50-MRE11-NBN-p200-p350 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
ITGA6-ITGB4-CD9 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (CRY1, SKP1A, CUL1, FBXL3)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (CRY2, SKP1A, CUL1, FBXL3)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
MDC1-H2AFX-TP53BP1 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
MDC1-p53BP1-SMC1 complex	3	human	1	3	TRUE	TRUE	TRUE.TRUE
RAD50-BRCA1 complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
BARD1-BRCA1-CSTF64 complex	3	human	3	2	TRUE	TRUE	TRUE.TRUE
BRCA1 A complex	4	human	2	4	TRUE	TRUE	TRUE.TRUE
BRCA1 C complex	4	human	2	4	TRUE	TRUE	TRUE.TRUE
BRCA1 B complex	3	human	2	2	TRUE	TRUE	TRUE.TRUE
ETS2-ERG complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ETS2-ETS1 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
PCNA-CHL12-RFC2-5 complex	6	human	0	3	FALSE	TRUE	FALSE.TRUE
MMP-2-claudin-1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
RFC complex	5	human	0	2	FALSE	TRUE	FALSE.TRUE
OCT4-SOX2 DNA-protein complex	2	human	2	0	TRUE	FALSE	TRUE.FALSE
OCT1-SOX2 DNA-protein complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
PAX6-SOX2 DNA-protein complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
RAD9-RAD1-HUS1-APE1 complex	4	human	1	1	TRUE	TRUE	TRUE.TRUE
9-1-1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
BRCA1-cABL complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
RPAP1-RPB2-RPB3 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
BRCA1-SMAD3 complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
BRCA1-HDAC1-HDAC2 complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
BRCA1-BARD1-BACH1-DNA damage complex II	8	human	2	7	TRUE	TRUE	TRUE.TRUE
ITGAV-ITGB3 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
BRCA1-BARD1-BACH1-DNA damage complex I	6	human	2	5	TRUE	TRUE	TRUE.TRUE
BRCA1-BARD1-BRCA2-DNA damage complex III	3	human	2	3	TRUE	TRUE	TRUE.TRUE
BRCA1-CtIP-CtBP complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
BRCA1-VCP complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
hSIR2-p53 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
BRCA1-BARD1-UbcH5c complex	3	human	2	2	TRUE	TRUE	TRUE.TRUE
BRCA1-BARD1-UbcH7c complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
BRCA1-RAD51 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
BRCA1-RNA polymerase II complex	26	human	9	9	TRUE	TRUE	TRUE.TRUE
ITGB3-ITGAV-VTN complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
RSmad complex	10	human	0	8	FALSE	TRUE	FALSE.TRUE
TIF1gamma-SMAD2-SMAD3 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
SRm160-SRm300 complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
SMAD4-SMAD2-SMAD3 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
Profilin 1 complex	6	human	4	6	TRUE	TRUE	TRUE.TRUE
AR coactivator complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
DAXX-Axin-p53-HIPK2 complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
ATRX-DAXX complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-THBS1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ING4 complex (ING4, MYST2, C1orf149, PHF15)	4	human	0	2	FALSE	TRUE	FALSE.TRUE
ING4 complex (ING4, MYST2, C1orf149, PHF16)	4	human	0	2	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB3-NOV complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA5-ITGB1-FN-1-NOV complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
ING2 complex	12	human	3	10	TRUE	TRUE	TRUE.TRUE
ITGA5-ITGB1-CAL4A3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
HBO1 complex	7	human	0	3	FALSE	TRUE	FALSE.TRUE
ING5 complex	11	human	0	5	FALSE	TRUE	FALSE.TRUE
DSIF complex (DRB sensitivity-inducing factor complex)	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Serine-palmitoyltransferase (SPT) complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA2b-ITGB3-CD9-GP1b-CD47 complex	6	human	0	0	FALSE	FALSE	FALSE.FALSE
BRD4-P-TEFb complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
P-TEFb-7SKRNA-HEXIM1 complex	3	human	3	2	TRUE	TRUE	TRUE.TRUE
SCF subcomplex (WEE1, SKP2, BTRC)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (CUL1, RBX1, SKP1A)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA5-ITGB3-COL6A3 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Respiratory chain complex I (early intermediate NDUFAF1 assembly), mitochondrial	7	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-ITGB1-SPP1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Respiratory chain complex I (incomplete intermediate ND1, ND2, ND3, CIA30 assembly), mitochondrial	4	human	0	0	FALSE	FALSE	FALSE.FALSE
BCR-ABL (p185 fusion protein)-GRB2 complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
BCR-ABL (p210 fusion protein)-GRB2-SOS1 complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
SHC-GRB2 complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
ITGA2b-ITGB3-CD47-FAK complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
RBPJ-NotchIC-Mastermind complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RBP-Jkappa-Notch1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
RBP-Jkappa-SHARP complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
PLC-gamma-2-Syk-LAT-FcR-gamma complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
PLC-gamma-2-Lyn-FcR-gamma complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SMRT-SKIP-CBF1 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
PLC-gamma-2-SLP-76 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PLC-gamma-2-LAT complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Ku antigen-YY1-alphaMyHC promoter complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
SHARP-CtBP complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
LAT-PLC-gamma-1-p85-GRB2-SOS signaling complex, C305 activated	5	human	1	0	TRUE	FALSE	TRUE.FALSE
SHARP-CtBP1-CtIP complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
SHARP-CtIP-RBP-Jkappa complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	4	human	1	2	TRUE	TRUE	TRUE.TRUE
Ecsit complex (ECSIT, MT-CO2, GAPDH, TRAF6, NDUFAF1)	5	human	0	1	FALSE	TRUE	FALSE.TRUE
PTF1-bHLH complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Ecsit complex (ECSIT, NDUFS3, TOM20)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Ecsit complex (ECSIT, MT-CO2, NDUFA1, MT-ND1, TRAF6, NDUFAF1)	6	human	0	0	FALSE	FALSE	FALSE.FALSE
Ecsit complex (ECSIT, NDUFS3, NDUFAF1)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Respiratory chain complex I (incomplete NDUFAF1 assembly), mitochondrial	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Notch1-p56lck-PI3K complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RBP-Jkappa-RING1-KyoT2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
YY1-Notch1-RBP-Jkappa complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
YY1-Notch1 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
LCK-SLP76-PLC-gamma-1-LAT complex, pervanadate-activated	4	human	0	0	FALSE	FALSE	FALSE.FALSE
PLC-gamma-1-LAT-c-CBL complex, OKT3 stimulated	3	human	0	0	FALSE	FALSE	FALSE.FALSE
LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated	2	human	1	0	TRUE	FALSE	TRUE.FALSE
SMAD1-CBP complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SLP-76-PLC-gamma-1-ITK complex, alpha-TCR stimulated	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SLP-76-PLC-gamma-1-VAV complex, alpha-TCR stimulated	3	human	0	0	FALSE	FALSE	FALSE.FALSE
CRK-BCAR1-DOCK1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITK-SLP-76 complex, anti-TCR stimulated	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NuMA-LGN-G-alpha-i-1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Axin-SMAD3 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
mTORC2 complex (mTOR/FRAP1, LST8, mAVO3/RICTOR)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA9-ITGB1-VEGFC complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-VEGFA complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SMAD3-E2F4/5-p107-DP1 complex	5	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-ADAM8 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
mTOR-signaling complex (mTOR/FRAP1, RAPTOR)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SMAD7-SMURF2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
APC-Axin-1-beta-catenin complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
